id,name,type,age,year,sector,genre,land,produktion,regie,networth,agent
thkisp,The Kings Speech,2,44,2010,1,2,US,Weinstein Co,Tom Hooper,99,99
toast,Toast,2,44,2010,1,6,UK,Wtwo Media,S J Clarkson,99,99
litosh,Lifes too short,2,45,2011,2,6,UK,Blink Entertainment,Ricky Gervais,99,99
dagr,Das Grueffelokind,2,45,2011,1,8,US,BBC,Uwe Heidschoetter,99,99
ruwaouofthga,Rufus Wainwright Out of the game,2,46,2012,5,9,US,Decca Records,Philip Andelman,99,99
dash,Dark Shadows,2,46,2012,1,4,UK,Warner Bros,Tim Burton,99,99
ath,A Therapy,2,46,2012,1,6,ITA,Prada,Roman Polanski,99,99
lemi,Les Miserables,2,46,2012,1,9,US,Universal Pictures,Tom Hooper,99,99
thlora,The Lone Ranger,2,47,2013,1,1,US,Walt Disney,Gore Verbinski,99,99
buunta,Burton und Taylor,2,47,2013,1,2,US,BBC,Richard Laxton,99,99
